path	size	first_u16	owning_s	format	invariant	consumer
graphics/misc/gUnknown_08A9806C.bin	36	0x1312	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9806C,
graphics/misc/gUnknown_08A98090.bin	36	0x1614	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98090,
graphics/misc/gUnknown_08A980B4.bin	40	0x1916	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A980B4,
graphics/misc/gUnknown_08A980DC.bin	40	0x1916	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A980DC,
graphics/misc/gUnknown_08A98144.bin	36	0x0712	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98144,
graphics/misc/gUnknown_08A98168.bin	52	0x071A	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98168,
graphics/misc/gUnknown_08A981BC.bin	56	0x0C21	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A981BC,
graphics/misc/gUnknown_08A981F4.bin	52	0x1126	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A981F4,
graphics/misc/gUnknown_08A98228.bin	84	0x0909	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98228,
graphics/misc/gUnknown_08A9827C.bin	88	0x1408	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9827C,
graphics/misc/gUnknown_08A98314.bin	48	0x1E13	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98314,
graphics/misc/gUnknown_08A98344.bin	40	0x2019	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98344,
graphics/misc/gUnknown_08A9836C.bin	80	0x1926	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9836C,
graphics/misc/gUnknown_08A983BC.bin	52	0x1A1C	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A983BC,
graphics/misc/gUnknown_08A983F0.bin	88	0x131A	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A983F0,
graphics/misc/gUnknown_08A98448.bin	52	0x1126	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98448,
graphics/misc/gUnknown_08A9847C.bin	88	0x0B12	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9847C,
graphics/misc/gUnknown_08A984D4.bin	56	0x152C	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A984D4,
graphics/misc/gUnknown_08A9850C.bin	52	0x0F2C	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9850C,
graphics/misc/gUnknown_08A98540.bin	40	0x0B2F	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98540,
graphics/misc/gUnknown_08A98568.bin	60	0x082A	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98568,
graphics/misc/gUnknown_08A985A4.bin	88	0x0B30	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A985A4,
graphics/misc/gUnknown_08A9863C.bin	88	0x0420	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A9863C,
graphics/misc/gUnknown_08A98694.bin	44	0x082A	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98694,
